group,detailPage,name,subjectId,canton
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349823,Stähelin Philipp,10.3896,TG
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349817,Reimann Maximilian,10.3896,AG
Inderkum Hansheiri,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349685,Präsident,10.3896,Präsident
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349826,Jenny This,10.3896,GL
V,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349835,Germann Hannes,10.3896,SH
Inderkum Hansheiri,/ab/data/d/s/4817/349553/d_s_4817_349553_349649.htm#349695,Präsident,10.3896,Präsident
RL,/ab/data/d/s/4817/349553/d_s_4817_349553_349554.htm#349585,Büttiker Rolf,10.017,SO
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349587,Janiak Claude,10.404,BL
RL,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349655,Freitag Pankraz,10.404,GL
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349623,Niederberger Paul,10.404,NW
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349611,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349624,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349630,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349642,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349640,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349653,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349675,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349666,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349660,Janiak Claude,10.404,BL
Inderkum Hansheiri,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349606,Präsident,10.404,Präsident
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349671,Stähelin Philipp,10.404,TG
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349682,Janiak Claude,10.404,BL
RL,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349678,Freitag Pankraz,10.404,GL
CEg,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349676,Graber Konrad,10.404,LU
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349668,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349691,Janiak Claude,10.404,BL
S,/ab/data/d/s/4817/349553/d_s_4817_349553_349582.htm#349714,Janiak Claude,10.404,BL
